# Calibrated actuator disk source
# Turbine ID:                : backTurbine
# Thrust method:             : interpolatedFromTable
# Monitor reading method:    : actuatorDisk
# Rotation applied:          : 0.0000000000e+00
# Load distribution:         : NRELdistribution
#                 
# Time            # Uref            # Ctref           # Cpref           # Thr_Calc        # Thr_Applied     # errorT (%)      #                 
58                7.097e+00		7.861e-01	5.739e-01	2.472e+05		2.440e+05	-1.309e+00	
59                7.071e+00		7.872e-01	5.728e-01	2.458e+05		2.426e+05	-1.309e+00	
60                7.047e+00		7.881e-01	5.719e-01	2.444e+05		2.412e+05	-1.309e+00	
61                7.025e+00		7.890e-01	5.710e-01	2.431e+05		2.400e+05	-1.309e+00	
62                7.004e+00		7.898e-01	5.702e-01	2.420e+05		2.388e+05	-1.309e+00	
63                6.985e+00		7.906e-01	5.694e-01	2.409e+05		2.378e+05	-1.309e+00	
64                6.967e+00		7.913e-01	5.687e-01	2.399e+05		2.368e+05	-1.309e+00	
65                6.950e+00		7.920e-01	5.680e-01	2.389e+05		2.358e+05	-1.309e+00	
66                6.935e+00		7.926e-01	5.674e-01	2.380e+05		2.350e+05	-1.309e+00	
67                6.920e+00		7.932e-01	5.668e-01	2.372e+05		2.341e+05	-1.309e+00	
68                6.907e+00		7.937e-01	5.663e-01	2.364e+05		2.334e+05	-1.309e+00	
69                6.894e+00		7.943e-01	5.657e-01	2.357e+05		2.327e+05	-1.309e+00	
70                6.882e+00		7.947e-01	5.653e-01	2.350e+05		2.320e+05	-1.309e+00	
71                6.870e+00		7.952e-01	5.648e-01	2.344e+05		2.313e+05	-1.309e+00	
72                6.859e+00		7.956e-01	5.644e-01	2.338e+05		2.307e+05	-1.309e+00	
73                6.849e+00		7.960e-01	5.640e-01	2.332e+05		2.302e+05	-1.309e+00	
74                6.839e+00		7.964e-01	5.636e-01	2.326e+05		2.296e+05	-1.309e+00	
75                6.830e+00		7.968e-01	5.632e-01	2.321e+05		2.291e+05	-1.309e+00	
76                6.821e+00		7.972e-01	5.628e-01	2.316e+05		2.286e+05	-1.309e+00	
77                6.813e+00		7.975e-01	5.625e-01	2.311e+05		2.282e+05	-1.309e+00	
