# Region      : cellSet disk1
# Cells       : 198
# Volume      : 1.552222e+05
# Time        	volAverage(U)	volAverage(k)
10            	(4.380547e+00 3.835475e-06 9.155907e-02)	7.472332e-01
20            	(4.288641e+00 8.843884e-06 9.294581e-02)	7.524545e-01
30            	(4.270802e+00 7.687976e-06 9.732228e-02)	7.546506e-01
40            	(4.262965e+00 6.696034e-06 9.982662e-02)	7.557978e-01
50            	(4.258927e+00 3.639587e-06 1.012800e-01)	7.563450e-01
60            	(4.256571e+00 6.362744e-07 1.022017e-01)	7.566335e-01
70            	(4.255095e+00 -3.471178e-07 1.028198e-01)	7.568006e-01
80            	(4.254089e+00 3.585756e-08 1.032542e-01)	7.569049e-01
90            	(4.253363e+00 2.292765e-07 1.035767e-01)	7.569739e-01
100           	(4.252815e+00 1.428275e-07 1.038225e-01)	7.570224e-01
110           	(4.252385e+00 3.015587e-08 1.040107e-01)	7.570583e-01
120           	(4.252041e+00 -1.842366e-08 1.041550e-01)	7.570855e-01
130           	(4.251760e+00 -2.269619e-08 1.042664e-01)	7.571066e-01
140           	(4.251529e+00 -2.000071e-08 1.043538e-01)	7.571234e-01
150           	(4.251335e+00 -1.192061e-08 1.044236e-01)	7.571370e-01
160           	(4.251171e+00 -2.155704e-09 1.044801e-01)	7.571481e-01
170           	(4.251031e+00 5.116304e-09 1.045266e-01)	7.571574e-01
180           	(4.250911e+00 1.082094e-08 1.045654e-01)	7.571652e-01
190           	(4.250808e+00 1.447414e-08 1.045979e-01)	7.571718e-01
200           	(4.250719e+00 1.625786e-08 1.046256e-01)	7.571774e-01
210           	(4.250641e+00 1.668414e-08 1.046492e-01)	7.571823e-01
220           	(4.250573e+00 1.630439e-08 1.046695e-01)	7.571865e-01
230           	(4.250514e+00 1.507503e-08 1.046870e-01)	7.571901e-01
240           	(4.250462e+00 1.366404e-08 1.047023e-01)	7.571933e-01
250           	(4.250416e+00 1.192463e-08 1.047156e-01)	7.571960e-01
260           	(4.250376e+00 1.028758e-08 1.047272e-01)	7.571984e-01
270           	(4.250341e+00 8.918054e-09 1.047373e-01)	7.572005e-01
280           	(4.250310e+00 7.332914e-09 1.047463e-01)	7.572023e-01
290           	(4.250283e+00 6.038704e-09 1.047541e-01)	7.572039e-01
300           	(4.250259e+00 4.993596e-09 1.047610e-01)	7.572053e-01
310           	(4.250238e+00 4.135032e-09 1.047671e-01)	7.572066e-01
320           	(4.250220e+00 3.467179e-09 1.047725e-01)	7.572077e-01
330           	(4.250203e+00 3.025390e-09 1.047773e-01)	7.572086e-01
340           	(4.250189e+00 2.768462e-09 1.047815e-01)	7.572095e-01
350           	(4.250176e+00 2.632958e-09 1.047852e-01)	7.572102e-01
360           	(4.250165e+00 2.570191e-09 1.047885e-01)	7.572108e-01
370           	(4.250155e+00 2.545693e-09 1.047914e-01)	7.572114e-01
380           	(4.250146e+00 2.533533e-09 1.047940e-01)	7.572119e-01
390           	(4.250139e+00 2.518943e-09 1.047963e-01)	7.572123e-01
400           	(4.250132e+00 2.500468e-09 1.047983e-01)	7.572127e-01
410           	(4.250126e+00 2.472159e-09 1.048001e-01)	7.572131e-01
420           	(4.250121e+00 2.433619e-09 1.048017e-01)	7.572134e-01
430           	(4.250116e+00 2.385750e-09 1.048031e-01)	7.572136e-01
440           	(4.250112e+00 2.332052e-09 1.048044e-01)	7.572138e-01
450           	(4.250109e+00 2.275630e-09 1.048055e-01)	7.572140e-01
460           	(4.250106e+00 2.219158e-09 1.048064e-01)	7.572142e-01
470           	(4.250103e+00 2.164027e-09 1.048073e-01)	7.572144e-01
480           	(4.250101e+00 2.110291e-09 1.048080e-01)	7.572145e-01
490           	(4.250098e+00 2.062792e-09 1.048087e-01)	7.572146e-01
500           	(4.250097e+00 2.017821e-09 1.048093e-01)	7.572147e-01
