Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
-403.2,-1008,90.314,0.0800869,8.0061,-0.00188737,0.000950441,8.0061,0.615735,0.108964
-390.6,-1008,90.314,0.0800863,8.00627,-0.00193254,0.000971526,8.00627,0.615727,0.107548
-378,-1008,90.314,0.0800858,8.00644,-0.00197757,0.00099235,8.00644,0.615718,0.10608
-365.4,-1008,90.314,0.0800852,8.00662,-0.00202239,0.0010129,8.00662,0.615709,0.104561
-352.8,-1008,90.314,0.0800845,8.00681,-0.00206692,0.00103313,8.00681,0.615699,0.10299
-340.2,-1008,90.314,0.0800839,8.007,-0.00211108,0.00105303,8.007,0.615689,0.101367
-327.6,-1008,90.314,0.0800832,8.0072,-0.00215478,0.00107256,8.0072,0.615679,0.0996919
-315,-1008,90.314,0.0800825,8.00741,-0.00219791,0.00109169,8.00741,0.615668,0.0979654
-302.4,-1008,90.314,0.0800818,8.00762,-0.0022404,0.00111037,8.00762,0.615657,0.0961874
-289.8,-1008,90.314,0.0800811,8.00784,-0.00228212,0.00112856,8.00784,0.615646,0.0943584
-277.2,-1008,90.314,0.0800803,8.00806,-0.00232297,0.00114625,8.00806,0.615634,0.092479
-264.6,-1008,90.314,0.0800795,8.00829,-0.00236284,0.00116339,8.00829,0.615622,0.0905501
-252,-1008,90.314,0.0800787,8.00853,-0.00240161,0.00117997,8.00853,0.615609,0.0885724
-239.4,-1008,90.314,0.0800778,8.00877,-0.00243915,0.00119594,8.00877,0.615596,0.0865469
-226.8,-1008,90.314,0.080077,8.00902,-0.00247535,0.00121127,8.00902,0.615583,0.0844749
-214.2,-1008,90.314,0.0800761,8.00927,-0.00251009,0.00122594,8.00927,0.615569,0.0823576
-201.6,-1008,90.314,0.0800752,8.00953,-0.00254323,0.0012399,8.00953,0.615555,0.0801964
-189,-1008,90.314,0.0800742,8.00979,-0.0025747,0.00125312,8.0098,0.615541,0.0779929
-176.4,-1008,90.314,0.0800733,8.01006,-0.00260435,0.00126553,8.01007,0.615526,0.0757489
-163.8,-1008,90.314,0.0800723,8.01034,-0.00263211,0.00127715,8.01034,0.615511,0.0734665
-151.2,-1008,90.314,0.0800713,8.01062,-0.00265784,0.00128787,8.01062,0.615495,0.0711476
-138.6,-1008,90.314,0.0800702,8.0109,-0.00268146,0.00129771,8.0109,0.615479,0.0687948
-126,-1008,90.314,0.0800692,8.01119,-0.00270283,0.00130659,8.01119,0.615463,0.0664106
-113.4,-1008,90.314,0.0800681,8.01148,-0.00272187,0.0013145,8.01148,0.615447,0.063998
-100.8,-1008,90.314,0.080067,8.01177,-0.00273846,0.00132141,8.01177,0.61543,0.0615599
-88.2,-1008,90.314,0.0800659,8.01207,-0.00275253,0.00132729,8.01207,0.615412,0.0590995
-75.6,-1008,90.314,0.0800647,8.01236,-0.00276394,0.00133214,8.01237,0.615395,0.0566202
-63,-1008,90.314,0.0800635,8.01267,-0.00277267,0.0013359,8.01267,0.615376,0.054125
-50.4,-1008,90.314,0.0800623,8.01297,-0.00277852,0.00133861,8.01297,0.615358,0.0516179
-37.8,-1008,90.314,0.0800611,8.01327,-0.00278167,0.0013402,8.01327,0.615339,0.049102
-25.2,-1008,90.314,0.0800599,8.01358,-0.00278217,0.00134073,8.01358,0.61532,0.0465816
-12.6,-1008,90.314,0.0800586,8.01388,-0.00277971,0.00134015,8.01388,0.615301,0.0440601
4.22094e-14,-1008,90.314,0.0800573,8.01418,-0.00277428,0.00133845,8.01418,0.615281,0.0415411
12.6,-1008,90.314,0.080056,8.01449,-0.00276595,0.00133568,8.01449,0.615261,0.0390284
25.2,-1008,90.314,0.0800547,8.01479,-0.00275466,0.00133181,8.01479,0.61524,0.0365257
37.8,-1008,90.314,0.0800533,8.01509,-0.00274048,0.00132684,8.01509,0.61522,0.0340368
50.4,-1008,90.314,0.080052,8.01539,-0.00272342,0.00132084,8.01539,0.615198,0.0315658
63,-1008,90.314,0.0800506,8.01569,-0.00270351,0.00131374,8.01569,0.615177,0.0291162
75.6,-1008,90.314,0.0800492,8.01598,-0.00268083,0.00130571,8.01598,0.615155,0.0266916
88.2,-1008,90.314,0.0800477,8.01627,-0.0026554,0.00129663,8.01627,0.615133,0.0242944
100.8,-1008,90.314,0.0800463,8.01656,-0.00262736,0.0012866,8.01656,0.615111,0.0219285
113.4,-1008,90.314,0.0800448,8.01684,-0.00259672,0.00127563,8.01684,0.615088,0.0195973
126,-1008,90.314,0.0800433,8.01712,-0.00256365,0.00126365,8.01712,0.615065,0.0173034
138.6,-1008,90.314,0.0800418,8.01739,-0.00252819,0.00125086,8.0174,0.615042,0.0150504
151.2,-1008,90.314,0.0800402,8.01766,-0.00249049,0.00123715,8.01766,0.615018,0.0128404
163.8,-1008,90.314,0.0800387,8.01793,-0.00245065,0.00122266,8.01793,0.614994,0.0106763
176.4,-1008,90.314,0.0800371,8.01818,-0.00240878,0.00120739,8.01818,0.61497,0.00855996
189,-1008,90.314,0.0800355,8.01844,-0.00236501,0.00119136,8.01844,0.614946,0.00649369
201.6,-1008,90.314,0.0800339,8.01868,-0.00231947,0.00117463,8.01868,0.614921,0.00447939
214.2,-1008,90.314,0.0800323,8.01892,-0.00227228,0.00115722,8.01892,0.614896,0.00251882
